2024-03-13 17:09:29 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-4] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-13 18:08:41 [AMQP Connection 192.168.50.141:5672] WARN  c.r.c.impl.ForgivingExceptionHandler - An unexpected connection driver error occurred (Exception message: Connection reset)
2024-03-13 18:08:41 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-4] INFO  o.s.a.r.l.SimpleMessageListenerContainer - Restarting Consumer@57704ec5: tags=[[amq.ctag-jj_A9YofIOruchWUxMQ4Ww]], channel=Cached Rabbit Channel: AMQChannel(amqp://guest@192.168.50.141:5672/,2), conn: Proxy@5cb76070 Shared Rabbit Connection: SimpleConnection@bc9b6c7 [delegate=amqp://guest@192.168.50.141:5672/, localPort=63245], acknowledgeMode=AUTO local queue size=0
2024-03-13 18:08:41 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
2024-03-13 18:08:41 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.a.r.c.CachingConnectionFactory - Created new connection: rabbitConnectionFactory#3be46d9c:4/SimpleConnection@4f4b4451 [delegate=amqp://guest@192.168.50.141:5672/, localPort=55969]
2024-03-13 18:08:41 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.amqp.rabbit.core.RabbitAdmin - Auto-declaring a non-durable, auto-delete, or exclusive Queue (springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw) durable:false, auto-delete:true, exclusive:true. It will be redeclared if the broker stops and is restarted while the connection factory is alive, but all messages will be lost.
2024-03-13 18:16:07 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:18:28 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/settings-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:18:28 [http-nio-8888-exec-9] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:30:26 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:30:26 [http-nio-8888-exec-1] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:33:16 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/settings-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:33:16 [http-nio-8888-exec-3] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:18 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/gateway-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:18 [http-nio-8888-exec-5] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:19 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.cloud.bus.event.RefreshListener - Received remote refresh request.
2024-03-13 18:41:19 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/catalog-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:19 [http-nio-8888-exec-6] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:19 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/user-service.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:19 [http-nio-8888-exec-7] INFO  o.s.c.c.s.e.NativeEnvironmentRepository - Adding property source: Config resource 'file [/Users/philipheur/practice/gradle/HShop/config-repo/application.yml]' via location 'file:///Users/philipheur/practice/gradle/HShop/config-repo/'
2024-03-13 18:41:19 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.cloud.bus.event.RefreshListener - Keys refreshed []
2024-03-13 18:41:19 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.c.s.m.DirectWithAttributesChannel - Channel 'unknown.channel.name' has 1 subscriber(s).
2024-03-13 18:41:19 [springCloudBus.anonymous.whyE0MuIQqO2yDuGeMsmrw-5] INFO  o.s.a.r.c.CachingConnectionFactory - Attempting to connect to: [192.168.50.141:5672]
